basin_id,basin,code,meta,rio
17,Tejo,17L/03A,RIBEIRA DO VALE DO CASTELO,
38,Sado,24J/01A,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,
17,Tejo,12L/01AE,RIBEIRA DE UNHAIS,
23,Guadiana,27L/01A,RIBEIRA DA TAPADA GRANDE,
17,Tejo,22I/01A,RIO ALMANSOR OU RIBEIRA DE SANTO ESTEVÃO OU DE CANHA,
47,Mondego,12I/01A,RIO ALVA OU RIBEIRA DA FERVENÇA,alva
47,Mondego,11L/02A,RIO ALVA OU RIBEIRA DA FERVENÇA,alva
8,Arade,30G/11AE,RIBEIRA DE ODELOUCA,
8,Arade,30G/01A,RIO ARADE,arade
1551779242,Ave,04H/02AE,RIO AVE,ave
12,Douro,06P/01A,RIBEIRA DO MONDEGO,
1551779242,Ave,04I/01A,RIO AVE,ave
47,Mondego,10M/01A,RIBEIRA DO CALDEIRÃO,
12,Douro,04P/01A,RIO AZIBO,azibo
12,Douro,07J/01A,RIO CABRUM,cabrum
57,Vouga/ribeiras Costeiras,08H/01A,RIO CAIMA,caima
12,Douro,06O/01A,RIBEIRA DO ARCO,
12,Douro,06N/02AE,RIBEIRA DAS TABUAS,
17,Tejo,16L/01AE,RIBEIRA DE NISA,
12,Douro,06M/01A,RIBEIRA DA CHA,
107,Cávado/ribeiras Costeiras,03J/01A,RIO CÁVADO,cavado
23,Guadiana,29M/03H,RIBEIRA DE CADAVAIS,
107,Cávado/ribeiras Costeiras,03J/02AE,RIO CÁVADO,cavado
107,Cávado/ribeiras Costeiras,05G/01AE,RIO CÁVADO,cavado
107,Cávado/ribeiras Costeiras,04H/01A,RIO CÁVADO,cavado
107,Cávado/ribeiras Costeiras,03I/01A,RIO CÁVADO,cavado
107,Cávado/ribeiras Costeiras,04F/01A,RIO CÁVADO,cavado
47,Mondego,12J/01A,RIO CEIRA,
12,Douro,12O/02A,RIO CÔA,coa
12,Douro,06K/02AE,RIO CORGO,
107,Cávado/ribeiras Costeiras,03H/04H,RIO COURA,
47,Mondego,10K/01A,RIO DÃO,dao
38,Sado,27H/02AE,RIBEIRA DA FERRARIA OU BARRANCO DO MONTE DO GATO,
23,Guadiana,25P/01A,RIBEIRA DA MÚRTEGA,
17,Tejo,20H/01A,RIBEIRA DA RAIA OU DE SEDA,
17,Tejo,17F/01H,RIBEIRA DA AZAMBUJA,
17,Tejo,20I/01AE,RIBEIRA DA RAIA OU DE SEDA,
138,Ribeiras Do Oeste,17B/01A,RIO DE SÃO DOMINGOS,
23,Guadiana,22K/01A,RIO DEGEBE,degebe
17,Tejo,21J/01A,RIO DIVÔR,divor
17,Tejo,16I/02A,,
17,Tejo,17M/01A,RIBEIRA DAS REVELADAS,
12,Douro,05S/01A,RIO DOURO,douro
12,Douro,07I/01A,RIO DOURO,douro
12,Douro,07K/01A,RIO DOURO,douro
38,Sado,26G/04H,RIBEIRA DE CAMPILHAS,
12,Douro,06S/01A,RIO DOURO,douro
12,Douro,05T/01A,RIO DOURO,douro
12,Douro,07G/01A,RIO DOURO,douro
23,Guadiana,28K/02H,RIBEIRA DE OEIRAS,
992,Ribeiras Do Algarve,30E/04H,BARRANCO DOS LADROES,
17,Tejo,12O/01A,RIBEIRA DA MEIMOA,
12,Douro,07O/02A,RIO DOURO,douro
12,Douro,07M/02A,RIO DOURO,douro
23,Guadiana,24M/07A,RIO GUADIANA,guadiana
17,Tejo,12N/01AE,RIBEIRA DO ESCARIGO,
12,Douro,05O/01A,RIBEIRA DO CEREJAL,
12,Douro,05P/01A,RIBEIRA DE SOEIMA,
107,Cávado/ribeiras Costeiras,03H/01A,RIO HOMEM,
17,Tejo,15J/01A,RIO ISNA,
1551779250,Lima,03G/01A,RIO LIMA,lima
23,Guadiana,22L/01A,RIBEIRA DO VALE DO VASCO,
12,Douro,05R/01A,RIBEIRA DE MACEDO,
992,Ribeiras Do Algarve,30E/01A,RIBEIRO DE ODEÁXERE,
1551779250,Lima,02H/01A,RIO LIMA,lima
38,Sado,26G/01AE,BARRANCO DE BENATELAR,
12,Douro,06K/05A,RIO LOUREDO,
68,Mira,28G/01A,RIO MIRA,mira
23,Guadiana,30L/01A,RIBEIRA DE ODELEITE,
17,Tejo,18F/03A,VALA DE ALPIARÇA OU DO PAÚL OU RIBEIRA DE ULME,
47,Mondego,11H/01A,RIO MONDEGO,mondego
47,Mondego,12H/01A,RIO MONDEGO,mondego
12,Douro,04K/01H,RIO MOURO,
17,Tejo,16K/01A,RIO OCREZA,ocreza
23,Guadiana,22M/01A,RIBEIRA LUCEFÉCIT,
17,Tejo,14N/01A,RIO PÔNSUL,ponsul
107,Cávado/ribeiras Costeiras,03J/04A,RIO RABAGÃO,rabagao
17,Tejo,13J/01A,RIBEIRA DE UNHAIS OU PAMPILHOSA,
12,Douro,06N/01A,RIBEIRA DE CATALINO,
107,Cávado/ribeiras Costeiras,03J/03A,RIO RABAGÃO,rabagao
17,Tejo,13L/02A,RIO RAMALHOSO,
47,Mondego,11L/03A,RIBEIRA DA CANICA OU DA LAGOA OU DA PRAGUEIRA,
17,Tejo,13L/01AE,RIBEIRA DE LORIGA,
12,Douro,05P/02A,RIBEIRA DE LAMEIRÃO OU DA CAMBA,
12,Douro,02Q/02AE,RIO SABOR,sabor
12,Douro,06K/01AE,RIO SORDO,
68,Mira,28G/02A,RIBEIRA DA CORTE BRIQUE,
38,Sado,27H/03AE,RIBEIRA DOS MIGUEIS,
17,Tejo,17L/01A,RIBEIRA DE NISA,
12,Douro,07H/01A,RIO TÂMEGA,tamega
23,Guadiana,29I/01A,BARRANCO DOS TOUCINHOS,
12,Douro,08L/01A,RIO TÁVORA,tavora
12,Douro,08P/01A,RIBEIRA DE AGUIAR,
17,Tejo,16K/02A,RIO TEJO,tejo
138,Ribeiras Do Oeste,21A/01A,RIBEIRA DAS VINHAS,
12,Douro,02Q/01A,RIBEIRA DAS ANDORINHAS,
38,Sado,23G/01A,RIBEIRA DE ALCÁÇOVAS,
17,Tejo,17J/01A,RIO TEJO,tejo
12,Douro,07M/01A,RIO TORTO 1,
23,Guadiana,19O/01A,RIBEIRA DO ABRILONGO,
12,Douro,07K/02A,RIO VAROSA,vaorsa
12,Douro,08N/02AE,RIBEIRA DE TEJA,
1551779242,Ave,08N/01AE,RIO VIZELA,vizela
17,Tejo,14I/01A,RIO ZÊZERE,zezere
17,Tejo,14H/01A,RIO ZÊZERE,zezere
17,Tejo,16H/01A,RIO ZÊZERE,zezere
23,Guadiana,26M/01A,RIBEIRA DO ENXOÉ,
47,Mondego,11L/01A,RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES,
12,Douro,06O/02A,RIBEIRA DA VILARIÇA,
12,Douro,06O/10A,,